Glottocode	Pop
ghot1243	<10K
aran1261	<10K
arif1239	<10K
anka1246	<10K
afar1241	2000000
arva1236	10K-100K
abau1245	<10K
amar1273	10K-100K
abee1242	300000
west2630	<10K
abid1235	10K-100K
abkh1244	100000
lamp1242	2000000
abua1244	10K-100K
aben1249	<10K
abaz1241	10K-100K
abro1238	1000000
ambo1250	2000000
ambu1247	10K-100K
baha1259	300000
inab1237	10K-100K
anem1248	<10K
abui1241	10K-100K
acha1250	<10K
giky1238	10K-100K
achi1257	4000000
sain1246	200000
acol1236	1000000
meso1252	19000000
acha1249	10K-100K
taiz1242	7000000
achi1256	10K-100K
acht1238	10K-100K
achu1248	<10K
hija1235	11000000
oman1239	2000000
adan1247	800000
adel1244	10K-100K
adho1243	400000
bori1243	200000
adio1239	10K-100K
adyg1241	600000
adze1240	10K-100K
tuni1259	11000000
said1239	19000000
east2379	<10K
akeu1235	10K-100K
amel1241	<10K
gulf1241	11000000
afri1274	7000000
awut1241	200000
agat1236	10K-100K
agar1252	10K-100K
ango1254	<10K
anga1290	<10K
agut1237	10K-100K
tain1253	<10K
aghe1239	10K-100K
agua1253	10K-100K
cent2084	<10K
agua1252	<10K
kahu1241	<10K
aghu1253	10K-100K
ahan1243	100000
axam1237	<10K
akha1245	600000
igoo1238	<10K
aros1241	<10K
anti1245	200000
assy1241	800000
aimo1244	<10K
ainu1240	<10K
aima1241	600000
aari1239	200000
ajab1235	600000
ajie1238	<10K
amri1238	100000
akan1250	13000000
bata1290	800000
akaw1239	10K-100K
anga1292	10K-100K
akla1241	500000
siwu1238	10K-100K
arak1252	<10K
akhv1239	10K-100K
alab1237	<10K
alag1242	400000
aleu1260	<10K
amai1246	<10K
alan1249	<10K
alun1238	10K-100K
algo1255	<10K
alut1245	<10K
sout2694	10K-100K
area1240	10K-100K
alab1254	300000
alya1239	<10K
alur1250	2000000
amah1246	<10K
yane1238	10K-100K
hame1242	10K-100K
amha1245	32000000
amis1246	100000
amba1265	10K-100K
amap1240	<10K
aman1265	<10K
amoo1242	10K-100K
alam1246	<10K
amar1274	<10K
guer1243	10K-100K
west2763	10K-100K
anma1239	<10K
ngas1240	400000
xara1244	<10K
goem1240	100000
obol1243	300000
angi1238	700000
andh1242	10K-100K
anua1242	100000
deny1238	10K-100K
anaa1238	2000000
anyi1245	1000000
pemo1248	<10K
anin1240	<10K
mufi1238	10K-100K
omie1241	<10K
bumb1241	<10K
uabm1237	800000
saaa1240	10K-100K
nort3139	15000000
suda1236	33000000
buki1249	10K-100K
mesc1238	<10K
apin1244	<10K
arop1243	<10K
arop1242	<10K
apur1254	<10K
west2615	10K-100K
apal1257	<10K
safe1240	<10K
n/a	360000000
west2441	<10K
arag1245	10K-100K
arhu1242	<10K
arik1262	<10K
arab1268	<10K
mapu1245	300000
arao1248	<10K
arap1274	<10K
alge1239	35000000
asut1235	500000
assi1247	<10K
cish1238	200000
assa1263	15000000
dano1240	10K-100K
astu1245	600000
pele1245	<10K
zaiw1241	100000
atam1240	10K-100K
ivbi1241	10K-100K
atti1239	600000
atik1240	<10K
aral1243	10K-100K
pamp1244	<10K
nort2686	10K-100K
anei1239	<10K
waor1240	<10K
aush1241	10K-100K
anuk1239	<10K
aust1304	<10K
awiy1238	10K-100K
avar1256	800000
avat1244	10K-100K
auuu1241	<10K
avok1242	10K-100K
awad1243	4000000
awap1236	<10K
cici1237	10K-100K
aeky1238	<10K
awng1244	500000
awak1250	<10K
awar1248	<10K
ayiz1245	400000
liby1240	5000000
nucl1667	3000000
ayor1240	<10K
nort3142	10000000
east2695	<10K
n/a	24000000
sanp1260	10K-100K
awin1248	10K-100K
high1278	200000
baha1260	400000
bash1264	1000000
n/a	8000000
bamb1269	14000000
bali1278	3000000
waim1255	<10K
bant1281	200000
bava1246	14000000
basa1284	300000
veng1238	10K-100K
bamu1253	400000
baat1238	1000000
nucl1630	<10K
bata1289	2000000
bauu1244	<10K
ghom1247	400000
nort2819	200000
west2458	<10K
gira1247	<10K
cent2004	1000000
bamu1257	<10K
bari1286	<10K
baou1238	4000000
bard1255	<10K
cent2087	2000000
bann1247	<10K
bali1245	10K-100K
kalu1248	<10K
benc1235	300000
babi1235	<10K
awad1244	<10K
bana1305	10K-100K
baca1246	300000
bayo1255	10K-100K
buna1276	<10K
bade1248	200000
baka1274	10K-100K
indo1317	200000
bahn1262	200000
boko1261	100000
orok1266	100000
beav1236	<10K
bena1264	10K-100K
bial1238	10K-100K
beja1238	1000000
bela1254	5000000
bemb1257	4000000
beng1280	240000000
beam1240	<10K
beso1237	10K-100K
beem1239	100000
guib1246	400000
blag1240	10K-100K
dalo1238	100000
beta1252	5000000
jurm1239	10K-100K
bena1262	700000
bari1284	700000
paur1238	600000
bafu1246	10K-100K
buna1278	10K-100K
malb1235	100000
bada1257	100000
sout2730	400000
balt1258	300000
bagh1251	8000000
maha1287	1000000
hary1238	13000000
rath1242	10K-100K
bang1356	10K-100K
west2368	2000000
east2304	2000000
bagr1243	2000000
bawm1236	10K-100K
taga1272	10K-100K
bugh1239	<10K
bhat1265	300000
balk1254	300000
bang1368	100000
bhar1241	200000
bhil1251	3000000
bina1277	<10K
bukh1238	100000
bhil1253	1000000
bimi1240	<10K
bhoj1244	51000000
bima1247	500000
tuka1249	100000
buwa1243	10K-100K
bhat1263	100000
biak1248	10K-100K
bhel1238	10K-100K
biss1248	600000
bian1252	10K-100K
n/a	2000000
bimo1239	400000
bini1246	2000000
naii1241	<10K
bisl1239	200000
sout2790	200000
budz1238	200000
bahi1254	<10K
burj1242	10K-100K
kana1281	10000000
banj1239	7000000
mids1243	10K-100K
make1251	<10K
binu1245	<10K
baja1265	300000
bala1302	10K-100K
bedj1245	10K-100K
bakw1243	10K-100K
baru1269	<10K
baka1272	10K-100K
binu1244	10K-100K
bako1249	10K-100K
baki1244	<10K
beri1254	<10K
komc1235	200000
baka1277	<10K
baku1263	10K-100K
buhi1245	<10K
bekw1241	10K-100K
baik1238	800000
boky1238	100000
siks1238	<10K
bell1243	<10K
bala1301	500000
kuwa1247	10K-100K
boli1255	10K-100K
paok1235	1000000
sout2912	100000
blan1242	10K-100K
taid1247	800000
bala1310	10K-100K
bala1315	10K-100K
bemb1255	200000
kein1239	<10K
ghay1237	<10K
nort2890	1000000
bamb1265	10K-100K
bomu1247	300000
muin1242	<10K
buru1306	<10K
bumm1238	10K-100K
bont1247	10K-100K
beng1282	<10K
bang1354	100000
east2482	10K-100K
bata1285	10K-100K
bunu1267	10K-100K
bant1288	10K-100K
bola1250	10K-100K
bund1253	3000000
bang1350	200000
bora1263	<10K
tibe1272	1000000
anja1238	<10K
nucl1695	10K-100K
bero1242	1000000
bine1240	<10K
bosn1245	9000000
tuwu1238	10K-100K
buam1238	200000
tiey1235	200000
daka1243	<10K
band1343	100000
binj1249	200000
koro1310	200000
sara1326	200000
bish1244	100000
boko1266	200000
bakh1245	1000000
band1340	10K-100K
busa1253	10K-100K
bamu1254	10K-100K
begb1241	100000
baka1273	10K-100K
braj1242	2000000
bret1244	200000
bera1259	100000
brah1256	3000000
east2332	10K-100K
bodo1269	1000000
brun1245	10K-100K
bass1258	10K-100K
bang1348	<10K
buru1296	100000
bara1380	<10K
baga1272	10K-100K
nucl1418	400000
akoo1248	200000
bask1236	10K-100K
bata1314	300000
bata1294	1000000
gagn1235	200000
biat1246	10K-100K
bata1291	1000000
irig1242	200000
bata1288	1000000
bete1262	10K-100K
bate1261	10K-100K
bata1293	500000
bata1292	200000
buri1258	400000
bush1250	10K-100K
ntch1242	300000
bush1247	200000
bugi1244	5000000
buga1250	10K-100K
bulg1262	7000000
bulu1251	900000
sher1258	100000
tere1278	10K-100K
boko1267	10K-100K
budu1250	200000
bube1242	10K-100K
bael1237	<10K
baeg1237	<10K
bura1267	<10K
bauz1241	<10K
bwai1242	<10K
sout2840	200000
bura1292	500000
buli1254	200000
bwaa1238	200000
buna1273	400000
baur1252	<10K
bang1353	4000000
buhu1237	<10K
bayu1240	<10K
buku1249	1000000
burd1238	<10K
pouy1238	<10K
bili1260	100000
baru1267	<10K
bura1271	<10K
medu1238	200000
qaqe1238	<10K
band1352	10K-100K
sout2920	2000000
brib1243	10K-100K
jena1242	200000
boik1241	10K-100K
mapo1242	10K-100K
bisu1244	<10K
beli1260	200000
basa1282	10K-100K
chor1273	10K-100K
gari1256	200000
chuj1250	10K-100K
cadd1256	<10K
sout2958	<10K
niva1238	10K-100K
kaqc1270	400000
cham1313	<10K
chac1251	<10K
chip1262	<10K
carn1240	10K-100K
gali1262	<10K
mose1249	<10K
stan1289	4000000
cavi1250	<10K
chiq1248	<10K
cayu1261	<10K
cara1272	<10K
chac1249	<10K
edec1238	<10K
chav1241	700000
bual1235	10K-100K
cash1251	<10K
cash1254	<10K
chay1248	<10K
cand1248	<10K
cacu1241	<10K
cham1318	<10K
chop1243	800000
samb1311	100000
atsa1241	10K-100K
coma1246	10K-100K
chak1266	300000
chir1283	<10K
cham1307	100000
chod1238	200000
chur1258	100000
mind1253	10000000
cebu1242	22000000
cham1315	<10K
czec1258	10000000
diji1241	10K-100K
fala1243	100000
kaga1256	10K-100K
chig1238	2000000
cham1312	10K-100K
high1242	<10K
chec1245	1000000
taba1266	10K-100K
ojit1237	10K-100K
chuu1238	10K-100K
chin1272	<10K
choc1276	10K-100K
chip1261	10K-100K
quio1240	10K-100K
cher1273	10K-100K
chur1257	<10K
chuv1255	1000000
chuw1238	1000000
chey1247	<10K
ozum1235	<10K
chic1270	<10K
cimb1238	<10K
west2650	300000
chok1245	1000000
east2563	10K-100K
ashe1273	<10K
cabe1245	<10K
shor1247	<10K
chua1250	10K-100K
jiny1235	63000000
cent1972	7000000
ciba1236	200000
anuf1239	200000
chuk1273	<10K
kava1241	<10K
cakf1236	<10K
ronn1241	200000
chil1280	<10K
leal1235	<10K
calu1238	10K-100K
chul1246	<10K
east2558	10K-100K
cerm1238	10K-100K
embe1262	<10K
mand1415	920000000
cent1992	10K-100K
mroc1235	10K-100K
haka1240	100000
asha1243	10K-100K
khum1248	10K-100K
lala1270	10K-100K
tepe1279	<10K
chen1266	80000
ngaw1239	10K-100K
kore1283	<10K
colo1256	<10K
chon1287	300000
sant1424	10K-100K
coma1245	<10K
cofa1242	<10K
como1259	<10K
corn1251	<10K
cors1241	10K-100K
caqu1242	<10K
nant1250	<10K
pala1351	10K-100K
ucay1237	<10K
ajyi1238	<10K
cher1271	100000
capi1239	700000
pich1237	10K-100K
puxi1243	3000000
cree1272	200000
mich1243	<10K
crim1257	500000
saot1239	10K-100K
sout2978	10K-100K
plai1258	10K-100K
nort1552	10K-100K
moos1236	<10K
elna1235	10K-100K
crow1244	<10K
iyow1239	<10K
sese1246	10K-100K
iyoj1235	<10K
carr1249	<10K
chil1282	<10K
kash1274	100000
asho1236	10K-100K
jola1262	10K-100K
cent2140	<10K
soch1239	<10K
swam1239	<10K
siyi1240	10K-100K
tata1258	<10K
tedi1235	300000
chit1275	15000000
embe1260	10K-100K
west2644	10K-100K
nort2883	10K-100K
chol1282	200000
cuaa1241	10K-100K
cube1242	<10K
usil1237	<10K
cuib1242	<10K
sanb1242	10K-100K
culi1244	<10K
teut1235	<10K
tepe1280	10K-100K
wood1236	10K-100K
kwer1261	10K-100K
kuwa1246	<10K
nopa1235	10K-100K
wels1247	700000
cuyo1237	100000
huiz1242	5000000
minz1235	700000
zotu1235	10K-100K
dang1274	10K-100K
mari1428	<10K
dagb1246	12000000
gwah1244	<10K
dako1258	<10K
dani1285	5000000
dand1238	400000
darg1241	500000
tait1250	400000
dava1245	100000
dadi1249	10K-100K
nucl1683	10K-100K
decc1239	13000000
fata1247	10K-100K
dend1243	300000
dedu1240	<10K
comm1246	<10K
slav1253	<10K
desa1247	<10K
stan1295	95000000
deng1250	<10K
sout2789	1000000
casi1235	<10K
dghw1239	10K-100K
nort2780	400000
dong1288	10K-100K
dogr1252	<10K
daga1275	<10K
dhun1238	10000000
zemb1238	10K-100K
dhan1264	100000
dhod1238	400000
dehu1237	10K-100K
diaa1238	<10K
lako1244	10K-100K
dier1241	<10K
digo1243	500000
dink1262	1000000
dibo1247	10K-100K
dima1251	100000
diri1252	10K-100K
dhiv1236	300000
ding1239	200000
zarm1239	4000000
djin1253	<10K
djee1236	<10K
ndyu1242	10K-100K
jams1239	100000
djam1256	<10K
dakp1242	10K-100K
dolg1241	<10K
darl1242	<10K
nden1249	10K-100K
dung1253	100000
nucl1770	2000000
danu1251	10K-100K
west2594	200000
dobu1241	100000
nort2735	2000000
indo1311	2000000
lukp1238	10K-100K
doya1240	10K-100K
mind1263	<10K
rung1259	10K-100K
clel1238	10K-100K
gede1246	1000000
dren1238	200000
ruka1240	10K-100K
lowe1385	<10K
daas1238	10K-100K
tada1238	10K-100K
labu1249	10K-100K
tene1248	100000
tomo1243	100000
cent2100	100000
toro1252	10K-100K
doty1234	800000
dual1243	10K-100K
dubl1239	200000
duna1248	10K-100K
umir1236	<10K
duru1249	400000
dung1251	10K-100K
dusu1271	10K-100K
dupa1235	<10K
diii1241	10K-100K
duun1242	10K-100K
duau1237	<10K
dawr1236	500000
dawa1242	<10K
n/a	<10K
djim1235	10K-100K
jola1263	400000
dyul1238	16000000
daza1242	400000
dzon1239	200000
n/a	10K-100K
embu1241	300000
efik1245	2000000
emil1241	3000000
eggo1239	100000
eipo1242	<10K
ejam1238	10K-100K
ekaj1238	10K-100K
ekit1246	400000
ekar1243	10K-100K
esto1258	1000000
elip1238	10K-100K
koti1238	10K-100K
east2342	10K-100K
mode1248	13000000
emai1241	10K-100K
muss1246	<10K
nort2972	10K-100K
east2340	200000
mark1255	200000
ende1246	100000
fore1265	<10K
stan1293	373000000
enge1239	10K-100K
enga1252	200000
sout2989	<10K
espe1235	2000000
erav1242	<10K
siee1239	<10K
ogea1238	<10K
sout2856	<10K
esee1248	<10K
n/a	200000
nort2943	<10K
nort2945	<10K
cent2128	<10K
cent2127	10K-100K
eton1253	200000
edol1239	<10K
yekh1238	300000
ejag1239	100000
eten1239	10K-100K
basq1248	700000
even1260	<10K
even1259	10K-100K
ewee1241	4000000
ewon1239	600000
extr1243	200000
keiy1238	300000
ezaa1238	600000
fasu1242	<10K
fada1250	<10K
wagi1249	<10K
fino1238	<10K
faiw1243	<10K
sout2782	10K-100K
fang1246	1000000
faro1244	10K-100K
fata1245	<10K
n/a	81000000
fala1241	10K-100K
sout2645	10K-100K
nobi1240	600000
fiji1243	300000
fili1244	28000000
finn1318	5000000
fipa1238	200000
torn1244	10K-100K
kven1236	<10K
kali1308	<10K
fuli1240	400000
fefe1239	100000
farw1235	400000
food1238	10K-100K
fonn1241	2000000
fore1270	10K-100K
fern1234	10K-100K
fass1245	<10K
stan1290	80000000
caju1236	10K-100K
fran1260	100000
nort2626	10K-100K
nort2628	200000
west2354	500000
east2447	<10K
fula1264	25000000
friu1240	600000
fuyu1242	10K-100K
furr1244	900000
gaaa1244	700000
gend1249	<10K
gaga1249	600000
alek1238	10K-100K
bore1247	<10K
gads1258	10K-100K
kand1303	<10K
ganc1239	22000000
adiw1235	10K-100K
nobo1238	<10K
gayo1244	300000
gaik1242	<10K
gale1259	10K-100K
gadd1242	100000
gami1242	400000
garh1243	3000000
nort2810	400000
gbay1287	200000
gbag1258	700000
gbar1246	400000
zoro1242	10K-100K
guad1242	1000000
guia1246	200000
gude1246	10K-100K
gada1258	<10K
uman1240	<10K
mehr1241	100000
wipi1242	<10K
godw1241	3000000
kire1240	<10K
gbol1235	400000
genn1243	300000
kagf1238	10K-100K
gera1246	200000
patp1243	<10K
ghom1257	10000
guhu1244	10K-100K
kitj1240	<10K
gilb1244	100000
gimi1243	10K-100K
gitx1241	<10K
sout3051	10K-100K
kach1272	600000
gonj1241	300000
guja1253	1000000
goka1239	10K-100K
guin1254	500000
scot1245	10K-100K
nana1257	<10K
iris1253	200000
gali1258	2000000
gila1241	2000000
manx1243	<10K
gbay1281	<10K
gamo1243	2000000
mgbo1238	200000
gang1266	10K-100K
zulg1242	10K-100K
ngan1299	10K-100K
guma1253	<10K
nort2702	3000000
west2640	<10K
guro1248	500000
godi1239	10K-100K
gofa1235	400000
gogo1263	1000000
goba1246	<10K
gola1255	100000
goan1235	2000000
nort3258	3000000
goro1259	1000000
gron1242	600000
ghan1244	5000000
gorr1238	10K-100K
rajp1235	10K-100K
greb1256	400000
ghar1239	10K-100K
n/a	5000000
garo1247	1000000
kist1241	300000
gwed1239	<10K
sout2785	200000
swis1247	5000000
wayu1243	300000
yoco1235	100000
guri1247	<10K
guah1255	10K-100K
east2555	10K-100K
guja1252	57000000
gumu1244	200000
gull1241	<10K
guam1248	10K-100K
mbya1239	10K-100K
guay1257	<10K
gunw1252	<10K
ache1246	<10K
fare1241	700000
yano1261	10K-100K
gunn1250	1000000
gour1243	900000
gusi1247	2000000
guan1269	<10K
goli1247	10K-100K
gula1268	200000
kuku1273	<10K
guru1261	300000
guma1254	<10K
kala1373	10K-100K
gwic1235	<10K
gwer1238	400000
gawa1247	<10K
weso1238	300000
nort2775	300000
gyel1242	10K-100K
ngab1239	200000
creo1235	600000
guar1292	<10K
hann1241	<10K
gura1251	400000
east2652	9000000
hang1258	<10K
haid1248	<10K
hakk1236	48000000
hewa1241	<10K
hang1260	200000
haaa1252	1000000
hara1271	10K-100K
hais1244	<10K
hait1244	12000000
haus1257	51000000
havu1238	500000
hawa1245	10K-100K
sout2956	<10K
haya1250	1000000
haza1239	3000000
huba1236	300000
huic1243	10K-100K
nort2938	<10K
hadi1240	1000000
nort2747	2000000
hebr1245	4000000
helo1243	10K-100K
hehe1240	800000
hemb1242	200000
here1253	200000
hoya1235	<10K
lama1288	10K-100K
fiji1242	500000
kamw1239	700000
pamo1253	<10K
hili1240	7000000
hind1269	320000000
hixk1239	<10K
hund1239	200000
hali1244	10K-100K
halb1244	600000
ngal1291	10K-100K
larg1235	300000
n/a	3000000
hiri1237	100000
east2370	400000
